Restaurant name	Reviewer’s name	Review text
J Wata Temaki Bar	Joyce C.	I've been here quite a few times, so it's about time I left some positive feedback. Prior to coming here, I wasn't the biggest fan of hand rolls, so I'm not really sure what possessed me to try this place out to be honest. Either way, it was a great decision and now I love hand rolls as long as they're made here.   These hand rolls are cylindrical, instead of the traditional conical shape. This allows you to eat the filling, rice, and nori at the same time instead of being left with just rice towards the end. Also, the rolls are made one by one so they don't get cold or soggy. I've had the dinner sets a couple times - I usually get set 4 or 5. Both are very good, depending if you want 4 or 5 hand rolls. They now have lunch specials too - house salad, miso soup, and 2 hand rolls. A la carte is always an option too. James has been our sushi chef the last couple times. Not only does he make a good roll, but he's funny and is also a great conversationalist.  Overall, super happy that I got to try this place out. It isn't in the best lot on Convoy, but it doesn't deter me. Try this place out if you haven't already!	
J Wata Temaki Bar	Sharon L.	I would give this place 3.5 stars. The service was great. The food was ok. Kazunori in LA is way better. I came for happy hour and spent close to $30. The best rolls are the scallop and salmon skin. I tried the happy hour rolls (salmon, toro, salmon skin, spicy tuna, scallop), popocorn shrimp, and salmon sashimi.	
J Wata Temaki Bar	Tatyana T.	Best San Diego hand roll experience, period! Pair your favorites with a good bottle of nigori and a close company of friends.	
J Wata Temaki Bar	Tina S.	First time eating at a Temaki bar. Came here after a late lunch so mainly here to feed my eyes and camera.   They have preset combos or you can choose your own. I tried the Negi Toro, Maine Lobster, and Uni with Shisho. Would skip the Shisho in the uni with shisho. Even though shisho tastes good, I felt that it overpowered the uni. Definitely enjoyed the crispy seaweed experience. Can't really tell how fresh the toppings were but I can tell that it wasn't bad.   Price is fair. The staff was tentative. Chef was awesome and accommodating. Glad we were able to squeeze this meal into our trip.	
J Wata Temaki Bar	Sarah C.	Awesome little Temaki spot!! My husband and I came here today (Saturday) and had a reservation at 7:15p. We came early but were able to be seated right away as it wasn't super busy. Atmosphere was great! I liked how the seating was set up in a U-shape so that the chefs serve each temaki directly to you. They have to be eaten right away in order for the seaweed to stay crisp. The menu is small but they also have specials written on their board inside the restaurant. We decided to order a la carte and ordered 5 rolls each. My husband ordered monkey balls as well.  I got the hamachi golden-ratio, bay scallop, negi toro, blue crab, and uni. All of my rolls were delicious and had nice, toasted seaweed! I do think my Uni, however, didn't taste as sweet as I'd like. It had a more bitter taste. I did like how our chef didn't actually add the shiso leaf, which I think it standardly come with. It probably would've overpowered the uni. My favorites of the rolls were the hamachi and the blue crab. Yum!  My husband ordered negi salmon, negi yellowtail, negi toro, salmon skin, and Maine lobster. After he took a bite of each roll, he would look at me and smile with approval, haha.   The monkey balls did take a little while to come out. Our chef gave my husband a hamachi roll during our wait. Not sure if it was by mistake but my husband took it anyway and said it was delicious! I looked at the receipt after our meal and we weren't charged for the extra hamachi roll. Score! Oh, the monkey balls were yummy by the way. It's like a deep fried sushi. It came with 4 half pieces and you gotta be careful eating them cuz they were hot. Give them a little time to cool before chomping down on those balls.   Our chef was awesome, servers were nice but could use a little more training because we were kinda lost in the beginning with who was actually our server, what to do with our paper, and had to ask for water refills when our cup was completely empty. I rate it 4.5 stars and rounded up to 5 for our great chef and delicious food!	
J Wata Temaki Bar	Sam S.	Located in convoy, right next to Crab Hut.....so obviously, the parking SUCKS, BUT....the sushi is really good. Made to order right in front of you. Something about their rice and seaweed, it makes the sushi!!!! The warm ness of the seaweed in every bite you take is delicious. The spicy salmon is my favorite so far, but honestly, they're all good!! The service can be a wait though.	
J Wata Temaki Bar	Vincent T.	TL;DR - Very good, but expect to pay for it. It's pretty good quality fish and so the price reflects the quality and experience.  I got the five-set and have had it a few times now, taste is very consistent throughout all visits.  1 - Salmon  By far the best one, 10/10 would definitely just order 5x of these and be happy.  2 - Lobster It's alright, it's claw meat so it's so so.  3 - Spicy Tuna Honestly I don't really like spicy tuna ever, so I just chug this one down with water and soy sauce  4 - Hamachi Very interesting fish and comes with greens inside. Very unique and I enjoy it.  5 - Scallops Once again, kind of an odd mix, but still very delicious.  Overall, this place is great :) and deserves the five stars for great atmosphere and food!	
J Wata Temaki Bar	Jenny T.	I came here with a group for a little snack because we were waiting for another reservation but got too hungry during the wait.  The counter is set up in that U formation so everyone is sitting in a single line next to each other.   This place only does hand rolls.  What's nice about it is that they make the hand rolls fresh and in front of you, and then hand it right over to you, so you're getting it right when it's made.  They lightly toast the nori with a small flame, so it's slightly warm when you bite into it.  It also comes out pretty quickly.    I ordered the Bay Scallop Hand Roll ($5).  Definitely small for $5, there's no way you could get full off of just one.  But for this visit it was fine because we only wanted a small snack.  I don't recommend this place if you don't like mayo, because a lot of the hand rolls on the menu contain mayo in them.   This is definitely not a place for you to just hang out and chat with your friends.  They try to get you in and out as quickly as possible, even if you're the only group in there.  I wouldn't recommend coming here for a complete meal, because you're not going to get full from here.  This place is best to go to if you're not that hungry to begin with, or if you want a small snack.  It's also pretty pricey for the size that it is, but I'm sure it goes to the quality of the ingredients.  You also can't split their set menu which is a bummer.  The hand rolls that we tried were pretty good, so it was a pleasant experience for my first hand roll place.  Just note that it's not a sit down and loiter kind of place.	
J Wata Temaki Bar	Trish S.	Sushi isn't hard to find in San Diego, but unique sushi is more of a challenge! This spot has been on my radar for awhile and it ended up being my first night out since the birth of my daughter.   A girlfriend met me here and we sat at the bar. It was a weeknight at 630 but I had a reservation regardless - it's a tiny place! We order drinks and some delicious and super garlicky edamame to start. It was the tail end of happy hour so we got some discount on our order.   Temaki is aka hand rolls, and if done well can be a really true expression of what sushi is really all about: the high quality fish, perfect rice and seaweed of course! We really enjoyed everything we had here and the staff was attentive and Chef CHEF JUNYA WATANABE was delighted to create.  Note that each roll is made to order so settle in for a bit and try the yellowtail! It was my favorite of the night.   Parking in this shopping center is the worst. You've been warned.	
J Wata Temaki Bar	Jimmy D.	3.5 Stars  Cool concept as you can easily drop in for a handroll or few.  Rolls came out fairly quick after ordering and they only make one at a time for you so that it is eaten fresh.  The rice is fairly warm and the nori was lightly toasted for a slight crisp on the first few bites.  The raw seafood was fresh and prepared well.  I got the \"Go\" premium set.  I felt that there could have been more protein than rice.  There was also more mayo than I wanted in some of the handrolls.  Blue Crab - Sweet crab flavor, mixed with mayo Spicy Toro - fatty and not as spicy as expected.    Negi Salmon - good flavors and nice texture. Probably my favorite Bay Scallop - I love scallops but this had way too much mayo Maine Lobster - Good tasting lobster with just enough mayo in it.  Overall - this is a great snack.  5 rolls wasn't enough to fill me up, but I didn't want more either.  Getting the set is a better value but i'd like to skip all the rolls with mayo, which seem to be a lot of them.	
J Wata Temaki Bar	Yueming Q.	I'm so happy to check out this place. It is a very small restaurant which is a little difficult to find because it doesn't have obvious name mark on the door. But once you walk in, you will love this bar style restaurant. You can get very close to chef, watching them make beautiful and delicious hand rolls. This restaurant's price is very reasonable, especially if you come here at happy hour, you can totally enjoy a full nice meal in very good price! I highly recommend.	
J Wata Temaki Bar	Lili T.	J WATA!!! I've never been to a restaurant and experienced this type of dining experience before and I really enjoyed it! I can't lie - I took advantage of the BOGO Grand Opening deal!  I went once with my friend's deal and we got the Go which included 5 handrolls per person - Maine Lobster, Spicy Tuna, Negi Salmon, Scallops, and Blue Crab. It was so delicious, I went again the next day with my little brother! I love that each handroll is made right in front of us and the seaweed is roasted over the open flame. They tell us to be sure to try and eat it quickly so that we can experience the crunch of the nori - YUM is all I can say! Having that crunch of the nori is the added bonus to a well crafted roll!   Ranking the rolls from my most favorite to least favorite: Maine Lobster, Negi Salmon, Spicy Tuna and Blue Crab tied, and scallops. I don't absolutely LOVE the scallops with mayo which is why I ranked it as my least favorite. All rolls are crafted with hot rice and rolled like a burrito style rather than a cone.   Our service was top notch and I'm excited to come back here when I'm back in town - however, it is kind of pricey without the deal!	
J Wata Temaki Bar	Theresa N.	Hubby and I were so excited to check out this place last weekend, we got there 45 minutes before opening to get in line, lol.  I can officially say that was probably not necessary, as other people didn't actually show up until maybe 15-20 minutes prior.  Alas however, our over-achievement paid off!  Seating in this place is limited.  Maybe about 15-20 people inside at a time I think.  You get seated around where all the action is and they make your temaki right there!  You can order the temaki by sets, or a la carte.  We decided to go with Set Go (5), which includes:  Maine lobster, blue crab. spicy toro, negi salmon and bay scallop.  Also ordered the hamachi sashimi as well as the uni ikura temaki.  Let me tell you, eat the roll as soon as they hand it to you.  They are tasty and fresh as hell.  Like, complete melt-in-your-mouth goodness.  Everything in the ingredients, down to the rice, is perfection.   Also, they use premium soy sauce, which is superb with the rolls.  You'll wonder why you never ate them like this before!  I joked with the hubby and said I could eat this everyday.  I haven't, but have been several times this past week =P.  Take all my money already, Junya!!	
J Wata Temaki Bar	Jasmine C.	I love that convoy is opening all these new restaurants. J wata sells premium hand rolls. Their menu is set and they will not adjust unless you have allergies.   Tbh, this is my first hand roll experience so I don't have anything to compare it to but it was good! My friend and I signed up for their grand opening BOGO special through Facebook. It's happening the weekend of 7/13-7/15 and 7/20-7/22.   The interior of the place is simple and I really liked the art of the wall. There's limited seatings so the wait can take some time. Each hand roll is made fresh and the chefs don't make the next one until you're done with the one in front of you. It's best to eat it quickly or the seaweed will soften and makes it harder to bite   I ordered the \"GO\" which is 5 hand rolls.  Spicy tuna - fresh Negi salmon - one of my favorite. It was simple. Can't go wrong with salmon.  Maine lobster - fresh but had a lot of mayo  Blue crab - also fresh and covered in mayo  Bay scallop - probably the best one. It was light, fresh, and nicely coated in a sauce.	
J Wata Temaki Bar	Desmond F.	4.5 stars  A premium hand roll experience, everything is made fresh and just before you eat it. One can get rolls a la carte or there are there are set menus San (3) Shi (4) and Go (5) and if you're not picky is the way to go to get the price breaks. We ordered two Go sets and a few a la cart to try everything we wanted. In the end we tried the Maine Lobster, Bay Scallop, Spicy toro, Negi Salmon, Blue Crab, Shabu Wagyu Beef and Unagi.  Everything was very good, what stood out to me was the smoky crunchiness of the nori. It starts out lovingly flame kissed and then only when it is warmed and toasted is it used.  Most places the nori is a mass produced after thought, there just for the structural integrity of the roll or handroll. But here it is your introduction, the beautiful edible wrapping paper of a tasty gift to your palate.   Of the 7 rolls I had the opportunity to try the blue crab was the one that stood out to me. After the first bite the flavor hit me as a reminder of how a premium Japanese taste experience is really just a moment of simple yet eye opening tranquility. It was just a fleeting few bites but so awakening.   J/Wata is not for all, the wait will invariably be long because of the limited seating (I counted about 20) so a large party will not do well here. It is also located in the my least favorite part of Convoy, the Parking lot from hell. Even with the set menus it is expensive for the amount of food your are getting. Perhaps not the most effective price point is reached here but transcendence comes at a cost and I'm glad there exists those who reach for that, even for a few bites.	
J Wata Temaki Bar	Ryan C.	J Wata is going to be added to my very short list of restaurants I'll be a regular at.    They have a very fresh take on Temaki and rather than create a \"cone\" they roll it like a \"tiny burrito\" so you get the same consistency of ingredients in every bite.  It's smartly done.   I ordered the five-piece meal which includes hamachi and scallops and every single bite was heaven.  The seafood was incredibly fresh and it was wrapped in warm, crispy nori that had been cooked over a Shichirin Grill--the same time of grill Ariana Grande had tattooed on her hand (lol)...Which as an aside, is still something I'm extremely amused by.    Lastly, their hot green tea is the best I've had.  It's thick and full of tiny green tea flakes floating in the mixture.  It is hands down better than the tea I've had at nearly every other Japanese restaurant.	
J Wata Temaki Bar	Lucy K.	J Wata resembles KazuNori in LA with its menu options and quality of handrolls. You can order their set menu or ala carte. Happy hour is such a great deal too! Really good handrolls for super cheap - who can pass on that? I'm surprised this place isn't always packed. There's never a wait here, which is a plus, and service is always great. Parking is the worse, however, so try to find street parking if you can.	
J Wata Temaki Bar	Jocy C.	4.5 Stars!!  This is my first time at a Temaki Bar (specializing in hand rolls)!  J Wata Temaki Bar is currently in soft opening (as of June 2018).  The creator is Junya Watanabe (also the creator of RakiRaki Ramen and Pokirrito Poke).  We tried the following: - Salmon Sashimi - Steamed Edamame - San Temaki (Blue Crab, Negi Toro, Spicy Salmon) - Bay Scallop Standard Roll - Maine Lobster Premium Roll - Negi Toro Premium Roll - Ikura Premium Roll - Uni Ikura Premium Roll - Ozeki Nigori Sake  Loved the food and freshness overall.   #NOMNOMNOM	
J Wata Temaki Bar	Nick W.	This review is based on the promotion they had when they had their grand opening for BOGO. after just having gone to Kazunori, I didn't want to compare the two but each provide different experiences and it was hard not to.   I think that overall J Wata has a lot to offer and their hand rolls are very good.   Just like Kazunori, this place has a long wait even with the reservation to save a spot. After already having difficult finding a parking spot, we finally got to waiting around for another 30 minutes.   Once walking in, the ambiance is way different from Kazunori since it was more lit.  The room felt more welcoming and had really awesome art on the walls. So we decided to order the Go set selection of rolls and I also got the Uni Ikura.   I have to say that I actually enjoyed the nori here more than the nori from Kazunori, however my girlfriend felt that here the nori stuck to the top of her mouth more.  I decided not to take pictures because I wanted to immerse myself in the experience.   The roll I remember the best and would definitely order again would have to be blue crab. To me it seemed like it was the perfect amount of crab within the nori and that it tasted the best to me. The presentation order of the rolls seemed different to me, but that's according to the chefs and so I can say that it was great to have the contrasting tastes. I also enjoyed the bay scallops roll and the spicy tuna.   I would definitely recommend going here to try it out, there's so much it has to offer and they do offer other rolls and some sashimi! Just hope you can find parking!	
J Wata Temaki Bar	Jiaxin G.	I got the weekend one grand opening BOGO special so  we used it for our lunch on Sunday afternoon. We got there around 1:50 and there's a line of about 10 people waiting already. It's not too bad even though we waited a little more than half an hour cause we were able to get some boba tea while we waited.   The restaurant have only about 22 seats but the turn over was decent. There were two chiefs making hand rolls for everyone. I feel like this temaki bar is not so much for hanging out. It just doesn't feel right to keep the seats for a long time while there's a line waiting outside the restaurant.  Anyways, we got the \"Go\" hand roll set (~$22 at regular price for 5 hand rolls). It came with spicy tuna hand roll, scallop hand roll, Maine lobster hand roll, blue crab hand roll and salmon hand roll. The shape of the hand rolls was not what you normally see in other sushi restaurant. The fillings sat in the middle of the hand roll and the two ends had a little hollow space. I didn't like this shape cause I couldn't dip the rice in the soy sauce dish.   Our favorite was the spicy tuna hand roll. It's got the right amount of spicy and the tuna didn't have the metal taste. It tasted fresh. My second favorite was the scallop one. Although it had mayonnaise, I still tasted the sweet flavor in the scallop. The Maine lobster and the blue crab hand rolls both had too much mayonnaise. And the salmon hand roll tasted interesting with the scallions.   For some reason the wasabi we had was not spicy at all. We like how wasabi normally get so spicy the taste go up your nose. However, we put chunks of wasabi in our hand rolls but it's only very mildly spicy.   The service was good. The interior design was cool! I like the wall painting very much. However, due to the open front door, fly get in and the inside of the restaurant could be a little warm. If you mind a fly hanging around while you eat, I suggest you don't come here (see my picture).   I am glad we got the BOGO deal to try this restaurant out. Otherwise I would rather spent couple bucks more to get AYCE.	
J Wata Temaki Bar	Robert J.	Looked good.  Sounded good.  Was planning on enjoying it with my group.  Made a reservation.  Showed up and was told \"We just sat everyone recently so I am sorry but it will probably be about an hour wait.\"  Um, excuse me?  What is the point of making a reservation if you don't actually hold seats?  You had my number - before sitting the walk in's how about a phone call to confirm?  Their excuse?  \"It got really busy before you walked in.\"  Yeah - that's why I made a reservation!  Customer lost.	
J Wata Temaki Bar	Charles M.	Why doesn't this place get more traffic? An underrated gem in the middle of a busy mall.   Came for a Saturday night dinner and there were only four others in the restaurant.   The hand roll style here is interesring - every meal plays out at a slow and steady pace, roll by roll. I ordered the 'Go' from the menu and was very happy. You can watch as every roll is made before your eyes. Be warned, it's a slower pace and may not be for everyone. I liked it though.  The rolls themselves are delicious. They toast the nori on the outside so every roll you get is fresh and warm. And oh, the fish! Their fish is wonderfully fresh.  One gripe though: even with so few people in the restaurant, the waiter service was very poor! Waters were not filled, we were generally not checked up upon.	
J Wata Temaki Bar	Joshua F.	First impression on the location, very hard to find parking considering the fact that there are many food places to eat here. The sushi bar is decent sized, kid friendly.  I made reservations fearing that it may be busy, but to my surprise it wasn't as we saw many walk-ins getting seated right away. Our host/hostess was very good at providing quick service, from getting our seats and refilling water and taking our orders from the menu. We did notice one sushi chef taking care of us, as well as many others, maybe too much for one person to handle, sushi here is made one at a time and follows the order they receive it in. I noticed some people waiting longer than usual to get their grub on and it might just make some people restless and hungry waiting for their turn. In my opinion they could've used one more chef for providing faster service.  Anyways the food part, my wife and I ordered the \"shi\" combo each. It consists of 4 different pre-set rolls. The sushi is given to you one at a time. (Side note, chef gave me a sushi roll that I didn't order and I got it free of charge! Lol) All I can say was the sushi is fresh and delicious. The one thing I liked about it was they toast the Nori (seaweed) on an open flame which gives it a smoky flavor and crunchy texture with each bite. I'd recommend going to this sushi spot if you want something for a change.  This has been my own opinion about this place, I encourage you to open your mind and try it for yourself.  From your friendly neighborhood spider- oh wait yelper! Itadakimasu!	
